Country,Pop20,Area,VetsStaff,VpC,Vdens,Name,LogPop,LogArea,LogVS
Myanmar,54409800,653290,8174,0.00015023,0.012512054,.,7.73567713,5.81510601,3.912434633
NAmibia,2540905,823290,564,0.000221968,0.000685056,.,6.404988428,5.91555284,2.751279104
Nepal,29136808,143350,18652,0.000640152,0.130115103,.,7.464441972,5.156397697,4.270725407
Netherlands,17134872,33720,5813,0.00033925,0.172390273,Netherlands,7.233880865,4.527887566,3.764400323
NewCaledonia,285498,18280,231,0.000809112,0.012636761,.,5.45560307,4.261976191,2.36361198
New Zealand,4822233,263310,3507,0.000727256,0.013318902,New Zealand,6.683248191,5.420467353,3.544935766
Nicaragua,6624554,120340,166,2.51E-05,0.001379425,.,6.821156645,5.080410007,2.220108088
Niger,24206644,1266700,847,3.50E-05,0.000668667,.,7.383934583,6.102673771,2.92788341
Nigeria,206139589,910770,14317,6.95E-05,0.015719666,Nigeria,8.314161406,5.959408717,4.155852025
NorthMacedonia,2083374,25220,511,0.000245275,0.020261697,.,6.31876724,4.401745082,2.7084209
Norway,5421241,365268,4558,0.000840767,0.012478509,Norway,6.734098714,5.562611627,3.658774321
Oman,5106626,309500,672,0.000131594,0.002171244,.,6.708134052,5.490660653,2.827369273
Pakistan,220892340,770880,13435,6.08E-05,0.017428134,Pakistan,8.344180656,5.886986778,4.128237671
PaNAma,4314767,74340,950,0.000220174,0.012779123,Panama,6.634957349,4.871222557,2.977723605
PapuaNewGuinea,8947024,452860,102,1.14E-05,0.000225235,.,6.951678602,5.655963962,2.008600172
Paraguay,7132538,397300,1601,0.000224464,0.0040297,.,6.853244094,5.599118565,3.204391332
Peru,32971854,1280000,868,2.63E-05,0.000678125,Peru,7.518143368,6.10720997,2.938519725
Philippines,109581078,298170,9450,8.62E-05,0.031693329,.,8.039735568,5.474463945,3.975431809
Poland,37846611,306230,1705,4.51E-05,0.005567711,Poland,7.578026996,5.486047734,3.231724383
Portugal,10196709,91590,5747,0.000563613,0.062747025,Portugal,7.008460025,4.961848059,3.759441197
Qatar,2881053,11610,513,0.00017806,0.044186047,.,6.459551248,4.06483222,2.710117365
Réunion,895312,2500,321,0.000358534,0.1284,Réunion,5.951974405,3.397940009,2.506505032
Romania,19237691,230170,10687,0.000555524,0.046430899,.,7.284152945,5.362048718,4.028855809
Rwanda,12952218,24670,3698,0.000285511,0.149898662,Rwanda,7.112344145,4.392169149,3.567966907
StHeleNA,6077,390,9,0.001480994,0.023076923,.,3.783689236,2.591064607,0.954242509
Samoa,198414,2830,24,0.000120959,0.008480565,Samoa,5.297572313,3.451786436,1.380211242
SanMarino,33931,60,20,0.000589431,0.333333333,.,4.530596659,1.77815125,1.301029996
SaudiArabia,34813871,2149690,2856,8.20E-05,0.001328564,SaudiArabia,7.541752316,6.332375836,3.455758203
Senegal,16743927,192530,1451,8.67E-05,0.007536488,.,7.223857322,5.284498411,3.161667412
Sint Maarten,42876,34,1116,0.026028547,32.82352941,.,4.632214262,1.531478917,3.047664195
Slovakia,5459642,48088,2507,0.000459188,0.052133588,.,6.737164166,4.682036715,3.399154334
Slovenia,2078938,20140,1087,0.000522863,0.053972195,.,6.317841538,4.304059466,3.036229544
Somalia,15893222,627340,1501,9.44E-05,0.002392642,.,7.20121195,5.79750298,3.176380692
SouthAfrica,59308690,1213090,1458,2.46E-05,0.001201889,SouthAfrica,7.773118332,6.083893023,3.163757524
SouthKorea,51269185,97230,19952,0.000389162,0.205204155,.,7.709856414,4.987800286,4.299986436
SouthSudan,11193725,610952,2872,0.000256572,0.00470086,.,7.048974633,5.786007091,3.458184436
Spain,46754778,498800,68254,0.001459829,0.136836407,Spain,7.669825999,5.697926445,4.834128108
